ID,Titulo,Epic,Tipo,Prioridad,Estimacion,Responsable,Estado,Dependencias,Entregable,Criterio
HU-01,Definir flujo de ramas,Gobierno del trabajo y decisiones,Historia,Alta,3,JhonCamiloSuazaSanchez,Ready,Ninguna,"main qa dev","No se trabaja directo sobre main"
HU-02,Consolidar plan y seguimiento,Gobierno del trabajo y decisiones,Historia,Alta,3,JhonCamiloSuazaSanchez,Ready,HU-01,"docs/entrega-base-datos/Historias de usuario.md; docs/entrega-base-datos/plan_trabajo_inicial.md; docs/entrega-base-datos/seguimientos.md; docs/entrega-base-datos/tablero_responsabilidades.md; docs/entrega-base-datos/responsabilidades_individuales/; docs/entrega-base-datos/tablero_azure_trello_clickup.csv; docs/entrega-base-datos/que_subir_y_que_no_subir.md","Plan con responsables estados guias de subida y tablero importable"
HU-03,Confirmar dominios funcionales,Gobierno del trabajo y decisiones,Historia,Alta,3,JhonCamiloSuazaSanchez,Ready,HU-02,"docs/entrega-base-datos/analisis_dominios.md; docs/architecture/model-data/es/; docs/architecture/model-data/en/","HU-03 incluye analisis_dominios.md mas carpetas es y en con exactamente 8 dominios oficiales"
HU-04,Registrar decisiones ADR,Gobierno del trabajo y decisiones,Historia,Alta,5,juanPabloGomezPerdomo,Ready,HU-03,docs/entrega-base-datos/ADR/,"Cada decision tiene contexto y consecuencia"
HU-05,Preparar automatizacion futura,Gobierno del trabajo y decisiones,Historia,Media,5,JhonCamiloSuazaSanchez,Backlog,HU-01,".github/workflows/validate-changelog.yml; .gitignore","Validacion de changelog documentada y archivos locales ignorados"
HU-06,Levantar PostgreSQL con Docker,Ambiente ejecutable,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,HU-01,entregables/estructura-base-datos/db-structure 1/docker/docker-compose.yml,"postgres disponible en localhost:5438"
HU-07,Configurar ejecucion Liquibase,Ambiente ejecutable,Historia,Alta,5,JhonCamiloSuazaSanchez,Ready,HU-06,"entregables/estructura-base-datos/db-structure 1/liquibase.properties; entregables/estructura-base-datos/db-structure 1/changelog/changelog-master.yaml; entregables/estructura-base-datos/db-structure 1/changelog/changelog-master.sql","Liquibase apunta al changelog maestro real y psql tiene alternativa"
HU-08,Cargar DDL base,Ambiente ejecutable,Historia,Alta,5,DannaValentinaBarrios,Ready,HU-07,"entregables/estructura-base-datos/db-structure 1/01_ddl/00_extensions; entregables/estructura-base-datos/db-structure 1/01_ddl/01_schemas; entregables/estructura-base-datos/db-structure 1/01_ddl/02_types","ChangeSets con rollback asociado"
HU-09,Modelar parametrizacion y seguridad,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,HU-08,"entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/configuration/; entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/security/","Tablas con identificador auditoria y relaciones"
HU-10,Modelar distribucion y prestacion,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,HU-09,"entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/distribution/; entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/service_delivery/","Permite disponibilidad reservas y estadias"
